TIMESTAMP,ContextTokens,GeneratedTokens
0.020148038864135742,2504,9
0.020245075225830078,3834,1
0.02241206169128418,1015,1
0.022587060928344727,1821,1
0.022802114486694336,7578,1
0.02345895767211914,1572,9
0.04323911666870117,1092,1
0.044281005859375,778,150
0.044409990310668945,515,19
0.04446911811828613,2241,7
0.04720902442932129,7686,8
0.1007089614868164,5025,7
0.10564708709716797,1125,8
0.10576295852661133,2205,2
0.10615992546081543,1684,14
0.10684800148010254,7673,120
0.1484050750732422,2849,19
0.14883089065551758,2849,17
0.15203595161437988,2418,13
0.1527400016784668,7684,88
0.17505288124084473,3242,1
0.17622590065002441,609,64
0.17640304565429688,2596,2
0.17653703689575195,1414,54
0.18056893348693848,4642,6
0.1809680461883545,2953,17
0.18147993087768555,29,6
0.18154001235961914,2,23
0.1823740005493164,4157,6
0.1824350357055664,766,9
0.1882319450378418,967,124
0.2721889019012451,48,27
0.2754549980163574,5457,1
0.2764439582824707,1821,1
0.2807478904724121,2162,7
0.28115200996398926,1179,2
0.2813100814819336,2368,30
0.282696008682251,1306,25
0.28644609451293945,1550,106
0.2866950035095215,401,8
0.35263800621032715,4130,1
0.35735511779785156,2884,27
0.35774898529052734,1684,2
0.40230703353881836,2221,1
0.4052119255065918,89,500
0.40581703186035156,4307,18
0.4061260223388672,955,45
0.40639400482177734,1957,33
0.4258840084075928,4260,13
0.42630696296691895,7687,27
0.4269900321960449,1495,6
0.4286179542541504,4260,5
0.4335780143737793,232,6
0.43369507789611816,1328,17
0.4338090419769287,2150,5
0.43459606170654297,30,13
0.434783935546875,934,12
0.5220179557800293,7342,3
0.5221340656280518,1915,3
0.5253241062164307,3125,75
0.5258500576019287,5457,3
0.5260970592498779,1508,18
0.5279030799865723,2616,6
0.5290110111236572,418,7
0.5306260585784912,418,1
0.5350821018218994,4120,1
0.5353720188140869,2274,13
0.5406920909881592,2406,16
0.5408689975738525,4037,8
0.6005589962005615,1893,7
0.6051750183105469,226,11
0.6059129238128662,2838,1
0.6470000743865967,1952,4
0.6478579044342041,1374,61
0.6509809494018555,7672,9
0.6523740291595459,2930,9
0.6726160049438477,967,48
0.6791970729827881,2,1
