TIMESTAMP,ContextTokens,GeneratedTokens
0.029649972915649414,642,20
0.13386988639831543,526,10
0.15201711654663086,555,3
0.2530810832977295,3875,25
0.28748106956481934,4186,9
0.6503698825836182,555,1
0.7552781105041504,84,45
0.759376049041748,1199,13
0.759788990020752,2747,7
0.7722780704498291,641,22
0.9008550643920898,555,3
1.0025570392608643,3875,30
1.003458023071289,1835,3
1.0850889682769775,955,9
1.1516640186309814,556,2
1.2574501037597656,2747,16
1.400527000427246,556,1
1.50319504737854,84,82
1.5040059089660645,1836,1
1.5381309986114502,3204,97
1.6503520011901855,556,1
1.9003419876098633,556,2
2.003005027770996,1836,2
2.020909070968628,1304,3
2.0256640911102295,1769,1
2.1535449028015137,7681,64
2.275460958480835,2067,18
2.2815990447998047,1948,16
2.4036130905151367,571,3
2.5041449069976807,6726,255
2.520840883255005,3302,31
2.5385560989379883,325,5
2.6510770320892334,1305,3
2.8364861011505127,957,5
3.1517269611358643,1306,2
3.2916810512542725,5014,16
3.3355259895324707,1832,10
3.401762008666992,1532,11
3.5097219944000244,2753,2
3.526815891265869,3795,18
3.755453109741211,2513,43
3.7722129821777344,3061,3
3.9014430046081543,7684,19
4.004002094268799,2753,4
4.133080959320068,1953,9
4.15164589881897,901,3
4.153611898422241,571,3
4.26875901222229,2389,2
4.2892889976501465,722,18
4.335644006729126,959,2
4.5090110301971436,2514,35
4.538666009902954,327,6
4.635484933853149,5867,37
4.756069898605347,2516,5
4.773268938064575,7682,15
4.833457946777344,959,2
4.882674932479858,1953,9
5.2554240226745605,2517,9
5.339040994644165,1635,9
5.384655952453613,5868,6
5.400635004043579,95,173
5.503732919692993,3887,1
5.538542032241821,328,3
5.586807012557983,1637,1
5.77422308921814,7684,9
5.781495094299316,2540,16
6.134226083755493,534,11
6.2882890701293945,327,3
6.349656105041504,1973,55
6.400741100311279,416,4
6.507622957229614,2514,86
6.516963005065918,7686,1
6.5240020751953125,652,14
6.58655309677124,1637,52
6.7552649974823,2515,1
6.842647075653076,1638,49
7.0064239501953125,2515,1
7.040164947509766,5014,10
7.132136106491089,6496,3
7.255110025405884,2515,1
7.272694110870361,2643,28
7.272871971130371,1313,3
7.273339033126831,2514,21
7.382950067520142,533,1
7.505702018737793,2515,10
7.542095899581909,7637,3
7.586004972457886,960,9
7.6342620849609375,533,11
7.65091609954834,98,1
7.760951042175293,3962,30
7.7734620571136475,2540,61
7.793572902679443,7680,8
7.794145107269287,1490,3
7.834489107131958,962,5
8.037822008132935,1523,9
8.131570100784302,5871,3
8.401118040084839,98,11
8.515467882156372,2515,43
8.520324945449829,1536,11
8.631027936935425,5998,1
8.65232801437378,1109,2
8.757374048233032,3963,17
8.758235931396484,2515,8
8.767513036727905,7686,65
8.900300979614258,555,1
8.901227951049805,7684,12
9.038203001022339,7680,8
9.152674913406372,1283,6
9.15349006652832,553,7
9.15487790107727,169,3
9.264666080474854,2755,79
9.512614965438843,2516,31
9.755425930023193,1956,69
9.771233081817627,996,67
9.78747010231018,329,1
9.881778001785278,6003,31
10.004458904266357,169,6
10.022489070892334,2769,62
10.042082071304321,1522,1
10.267723083496094,7683,54
10.288193941116333,1522,7
10.338690996170044,1176,2
10.400547981262207,2189,2
10.507277965545654,3965,16
10.586342096328735,2604,6
10.631130933761597,6498,5
10.650950908660889,1111,9
10.773080110549927,2545,653
10.791302919387817,1524,5
11.005073070526123,4470,4
11.151392936706543,3050,3
11.292813062667847,1538,10
11.40087890625,3051,3
11.631843090057373,6499,35
11.632076978683472,535,10
11.650553941726685,1116,2
12.017868995666504,7682,74
12.0866539478302,2879,114
12.266822099685669,3789,1
12.404016971588135,3051,6
12.405219078063965,1118,3
12.50649905204773,1962,14
12.584847927093506,2604,3
12.650875091552734,1116,10
12.755418062210083,3755,3
12.771229028701782,7681,63
12.839967012405396,1174,6
13.151173114776611,100,13
13.335233926773071,7675,2
13.40191102027893,4729,25
13.404392004013062,1117,4
13.405019998550415,1116,1
13.509706974029541,1962,65
13.588653087615967,461,15
13.590630054473877,1314,5
13.65074896812439,1117,4
13.766855001449585,3995,31
13.767337083816528,1962,16
13.768024921417236,7685,63
13.790879964828491,1521,13
13.83374810218811,1314,4
13.900701999664307,1118,11
14.020478010177612,1012,40
14.266887903213501,5281,4
14.512238025665283,2517,8
14.516499042510986,498,167
14.58594298362732,461,9
14.753249883651733,3995,31
14.900640964508057,1113,8
14.901562929153442,1123,12
15.02299690246582,2772,7
15.594825983047485,958,4
15.650758028030396,100,13
15.839423894882202,461,75
15.841754913330078,492,3
16.088109016418457,463,18
16.13088607788086,453,2
16.133657932281494,6522,35
16.54047989845276,1521,26
16.632538080215454,532,25
16.767107009887695,2067,10
16.771713972091675,2509,77
16.833884954452515,959,3
16.881700038909912,1542,5
16.903006076812744,1113,10
17.26019811630249,2517,112
17.401293992996216,101,175
17.40380311012268,1113,10
17.519504070281982,2511,11
17.650917053222656,2086,1
17.755626916885376,2516,12
18.040004014968872,2086,20
18.131388902664185,6546,36
18.268500089645386,7684,63
18.38385510444641,528,7
18.50954294204712,2517,75
18.521936893463135,1021,40
18.630863904953003,2890,14
18.787627935409546,5015,6
18.90058207511902,3674,1
19.091471910476685,189,3
19.131396055221558,531,13
19.28759002685547,1524,5
19.332767009735107,435,32
19.382040977478027,1936,3
19.401532888412476,2303,102
19.506603956222534,3513,22
19.50752592086792,6758,28
19.539438009262085,1524,1
19.63095188140869,643,31
19.650970935821533,3034,8
19.7611300945282,1542,3
19.788888931274414,1524,1
19.834371089935303,961,9
19.884103059768677,6566,30
20.003851890563965,6757,34
20.13193392753601,3537,25
